,symbol,product,min_unit,min_deposit,commission,exchange
0,AG0,白银,15.0,0.06,6.0,SHFE
1,AL0,铝,5.0,0.07,6.0,SHFE
2,AP0,苹果,10.0,0.11,6.0,ZZCE
3,AU0,黄金,1000.0,0.1,6.0,SHFE
4,B0,豆二,10.0,0.07,6.0,DCE
5,BB0,胶合板,500.0,0.2,6.0,DCE
6,BU0,沥青,10.0,0.1,6.0,SHFE
7,C0,玉米,10.0,0.05,6.0,DCE
8,CF0,棉花,5.0,0.07,6.0,ZZCE
9,CS0,玉米淀粉,10.0,0.05,6.0,DCE
10,CU0,铜,5.0,0.07,6.0,SHFE
11,FG0,玻璃,20.0,0.07,6.0,ZZCE
12,FU0,燃油,10.0,0.1,6.0,SHFE
13,HC0,热轧卷板,10.0,0.08,6.0,SHFE
14,I0,铁矿石,100.0,0.08,6.0,DCE
15,J0,焦炭,100.0,0.09,6.0,DCE
16,JD0,鸡蛋,10.0,0.08,6.0,DCE
17,JM0,焦煤,60.0,0.09,6.0,DCE
18,L0,塑料,5.0,0.07,6.0,DCE
19,M0,豆粕,10.0,0.07,6.0,DCE
20,MA0,甲醇,10.0,0.07,6.0,ZZCE
21,NI0,镍,1.0,0.08,6.0,SHFE
22,OI0,菜油,10.0,0.07,6.0,ZZCE
23,P0,棕榈油,10.0,0.06,6.0,DCE
24,PB0,铅,5.0,0.1,6.0,SHFE
25,PP0,聚丙烯,5.0,0.07,6.0,DCE
26,RB0,螺纹钢,10.0,0.11,6.0,SHFE
27,RM0,菜粕,10.0,0.06,6.0,ZZCE
28,RU0,橡胶,10.0,0.12,6.0,SHFE
29,SF0,硅铁,5.0,0.07,6.0,ZZCE
30,SM0,锰硅,5.0,0.07,6.0,ZZCE
31,SN0,锡,1.0,0.07,6.0,SHFE
32,SR0,白糖,10.0,0.05,6.0,ZZCE
33,TA0,PTA,5.0,0.08,6.0,ZZCE
34,V0,PVC,5.0,0.07,6.0,DCE
35,Y0,豆油,10.0,0.06,6.0,DCE
36,ZC0,动力煤,100.0,0.08,6.0,ZZCE
37,ZN0,锌,5.0,0.08,6.0,SHFE
38,WR0,线材,10.0,0.08,6.0,SHFE
39,A0,豆一,10.0,0.07,6.0,DCE
40,WH0,强麦,20.0,0.2,6.0,ZZCE
41,CY0,棉纱,5.0,0.05,6.0,ZZCE
42,IF0,沪深300期货,300.0,0.15,6.0,CFE
43,IC0,中证500期货,200.0,0.3,6.0,CFE
44,IH0,上证50期货,300.0,0.15,6.0,CFE
45,TS0,2年期国债期货,20000.0,0.005,6.0,CFE
46,TF0,5年期国债期货,10000.0,0.012,6.0,CFE
47,T0,10年期国债期货,10000.0,0.02,6.0,CFE
48,SC0,原油,1000.0,0.1,6.0,INE
